Marca temporal,¿En qué semestre te encuentras actualmente?,¿Te has sentido desmotivado(a) para continuar tus estudios en el ITD en los últimos 6 meses?,¿Alguna vez has considerado abandonar la carrera?,¿Presentas dificultades económicas para cubrir tus gastos escolares?,¿Tienes un empleo además de estudiar?,¿Consideras que tus responsabilidades laborales afectan tu rendimiento académico?,¿Has reprobado alguna materia en el último semestre escolar?,¿Te sientes apoyado/a por el personal docente y administrativo del ITD?,¿Cómo calificarías tu satisfacción con los servicios del ITD?,"¿Participas en actividades extracurriculares (deporte, cultura, talleres) dentro del ITD?",Dirección de correo electrónico
1/10/2025 12:09:18,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Nunca,Satisfecho/a,Algunas veces,
1/10/2025 12:12:22,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
1/10/2025 12:14:32,7mo o más,No,No,Sí,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
1/10/2025 12:16:56,7mo o más,No,No,No,"Sí, medio tiempo",Algo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
1/10/2025 12:17:47,7mo o más,No,No,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
1/10/2025 12:26:47,7mo o más,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
1/10/2025 12:30:05,7mo o más,No,Sí,No,"Sí, medio tiempo","Sí, mucho",No,Siempre,Muy satisfecho/a,Nunca,
1/10/2025 12:31:28,4to - 6to,No,No,No,No,No afecta/No trabajo,No,Siempre,Muy insatisfecho/a,Algunas veces,
1/10/2025 12:38:49,7mo o más,No,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
1/10/2025 12:42:13,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
1/10/2025 13:10:17,7mo o más,Si,No,Sí,No,Algo,No,Nunca,Insatisfecho/a,Algunas veces,
1/10/2025 13:47:36,4to - 6to,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
1/10/2025 15:45:15,7mo o más,No,Sí,No,"Sí, medio tiempo",No afecta/No trabajo,No,Siempre,Satisfecho/a,Algunas veces,
1/10/2025 15:52:35,7mo o más,Si,Sí,Sí,No,No afecta/No trabajo,No,Nunca,Insatisfecho/a,Algunas veces,
1/10/2025 16:21:15,7mo o más,No,Sí,No,"Sí, medio tiempo",Algo,No,Algunas veces,Insatisfecho/a,Algunas veces,
1/10/2025 17:09:33,4to - 6to,Si,Sí,No,"Sí, tiempo completo",Algo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
1/10/2025 17:28:23,7mo o más,Si,Sí,Sí,"Sí, tiempo completo",Algo,No,Nunca,Insatisfecho/a,Nunca,
2/10/2025 12:06:47,4to - 6to,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
3/10/2025 22:00:09,7mo o más,Si,Sí,Sí,No,Algo,Sí,Nunca,Insatisfecho/a,"Sí, frecuentemente",
6/10/2025 10:15:08,7mo o más,Si,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
6/10/2025 10:15:10,7mo o más,No,No,Sí,"Sí, medio tiempo",Algo,No,Siempre,Muy satisfecho/a,"Sí, frecuentemente",
6/10/2025 10:15:13,7mo o más,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 10:15:16,7mo o más,No,No,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 10:15:40,7mo o más,Si,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Nunca,
6/10/2025 10:15:43,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 10:15:47,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 10:15:51,7mo o más,Si,No,Sí,No,"Sí, mucho",No,Nunca,Insatisfecho/a,Nunca,
6/10/2025 10:16:15,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Muy insatisfecho/a,Algunas veces,
6/10/2025 10:16:25,7mo o más,Si,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 10:16:40,7mo o más,No,No,Sí,No,No afecta/No trabajo,No,Algunas veces,Muy satisfecho/a,Algunas veces,
6/10/2025 10:16:49,7mo o más,Si,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 10:16:52,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Nunca,
6/10/2025 10:16:56,7mo o más,No,No,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 10:17:00,7mo o más,No,No,No,"Sí, tiempo completo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 10:17:11,7mo o más,Si,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 10:17:16,7mo o más,No,Sí,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 10:19:23,7mo o más,No,Sí,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 10:20:01,7mo o más,Si,Sí,No,"Sí, medio tiempo",Algo,No,Siempre,Muy satisfecho/a,"Sí, frecuentemente",
6/10/2025 11:00:05,7mo o más,No,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
6/10/2025 11:07:57,7mo o más,No,Sí,Sí,"Sí, tiempo completo",Algo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 11:09:01,7mo o más,Si,No,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 11:09:37,7mo o más,Si,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
6/10/2025 11:09:46,7mo o más,No,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 11:09:55,7mo o más,No,Sí,No,"Sí, tiempo completo","Sí, mucho",No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
6/10/2025 11:10:48,7mo o más,Si,Sí,No,"Sí, tiempo completo","Sí, mucho",Sí,Nunca,Satisfecho/a,Nunca,
6/10/2025 11:11:20,7mo o más,Si,Sí,No,"Sí, medio tiempo",No afecta/No trabajo,No,Siempre,Satisfecho/a,Nunca,
6/10/2025 11:12:29,7mo o más,Si,No,No,No,Algo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
6/10/2025 11:20:24,7mo o más,No,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 13:03:00,7mo o más,No,No,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 13:03:48,7mo o más,No,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
6/10/2025 13:03:56,7mo o más,No,No,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,Nunca,
6/10/2025 13:04:24,7mo o más,No,Sí,No,"Sí, medio tiempo",Algo,Sí,Nunca,Satisfecho/a,Algunas veces,
6/10/2025 13:05:46,7mo o más,No,Sí,Sí,"Sí, tiempo completo","Sí, mucho",No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 13:05:48,7mo o más,Si,Sí,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Nunca,
6/10/2025 13:06:27,7mo o más,Si,Sí,Sí,No,"Sí, mucho",No,Nunca,Satisfecho/a,Algunas veces,
6/10/2025 13:06:46,7mo o más,Si,Sí,Sí,No,"Sí, mucho",Sí,Siempre,Satisfecho/a,Algunas veces,
6/10/2025 13:07:54,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Nunca,Muy insatisfecho/a,Nunca,
6/10/2025 13:08:54,7mo o más,No,No,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 13:09:13,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
6/10/2025 13:09:14,7mo o más,No,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 13:09:16,7mo o más,Si,Sí,Sí,"Sí, medio tiempo",Algo,Sí,Algunas veces,Insatisfecho/a,Nunca,
6/10/2025 13:09:22,7mo o más,Si,No,Sí,"Sí, tiempo completo",No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 13:09:46,7mo o más,Si,Sí,No,"Sí, medio tiempo",Algo,No,Siempre,Satisfecho/a,Algunas veces,
6/10/2025 13:09:47,7mo o más,No,No,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,Nunca,
6/10/2025 13:12:55,7mo o más,No,No,Sí,"Sí, medio tiempo",Algo,Sí,Algunas veces,Insatisfecho/a,Algunas veces,
6/10/2025 13:40:49,7mo o más,Si,Sí,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
6/10/2025 13:41:31,7mo o más,Si,Sí,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
6/10/2025 14:04:10,7mo o más,No,Sí,No,No,No afecta/No trabajo,No,Siempre,Insatisfecho/a,Nunca,
6/10/2025 14:06:26,7mo o más,Si,Sí,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Nunca,
6/10/2025 14:15:14,7mo o más,No,Sí,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
6/10/2025 14:54:39,7mo o más,No,No,Sí,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
7/10/2025 9:44:27,7mo o más,No,No,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,Algunas veces,
7/10/2025 9:45:14,7mo o más,No,No,No,"Sí, tiempo completo","Sí, mucho",Sí,Nunca,Muy insatisfecho/a,Nunca,
7/10/2025 9:46:28,7mo o más,No,No,No,No,Algo,No,Nunca,Satisfecho/a,"Sí, frecuentemente",
7/10/2025 9:46:48,1er - 3er,Si,Sí,Sí,"Sí, tiempo completo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
7/10/2025 9:46:58,7mo o más,Si,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
7/10/2025 9:47:14,1er - 3er,Si,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
7/10/2025 9:47:32,7mo o más,Si,Sí,Sí,"Sí, medio tiempo",No afecta/No trabajo,Sí,Nunca,Muy insatisfecho/a,Nunca,
7/10/2025 9:47:45,7mo o más,No,No,Sí,No,No afecta/No trabajo,Sí,Nunca,Insatisfecho/a,Algunas veces,
7/10/2025 9:49:35,7mo o más,No,No,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
7/10/2025 9:56:50,4to - 6to,No,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
7/10/2025 9:56:57,4to - 6to,No,Sí,No,No,No afecta/No trabajo,No,Siempre,Muy satisfecho/a,Algunas veces,
7/10/2025 9:57:07,4to - 6to,No,Sí,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
7/10/2025 9:57:23,7mo o más,No,No,No,No,Algo,No,Nunca,Muy insatisfecho/a,Nunca,
7/10/2025 9:57:37,4to - 6to,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Nunca,
7/10/2025 9:57:53,4to - 6to,Si,Sí,Sí,"Sí, medio tiempo",Algo,No,Siempre,Satisfecho/a,Algunas veces,
7/10/2025 9:57:58,4to - 6to,Si,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
7/10/2025 9:58:02,7mo o más,Si,Sí,Sí,No,Algo,Sí,Nunca,Insatisfecho/a,Nunca,
7/10/2025 9:58:08,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
7/10/2025 9:58:21,7mo o más,Si,Sí,Sí,"Sí, medio tiempo","Sí, mucho",No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
7/10/2025 9:58:31,4to - 6to,Si,Sí,No,No,Algo,Sí,Algunas veces,Satisfecho/a,Nunca,
7/10/2025 9:58:46,7mo o más,Si,Sí,Sí,"Sí, medio tiempo",Algo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
7/10/2025 10:01:12,4to - 6to,No,Sí,No,No,Algo,Sí,Algunas veces,Insatisfecho/a,Algunas veces,
7/10/2025 10:03:47,1er - 3er,No,Sí,No,No,Algo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
7/10/2025 10:12:46,7mo o más,Si,Sí,Sí,"Sí, medio tiempo",Algo,Sí,Algunas veces,Satisfecho/a,Nunca,
7/10/2025 10:13:12,7mo o más,Si,Sí,Sí,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
7/10/2025 13:10:58,7mo o más,Si,Sí,No,"Sí, medio tiempo",Algo,No,Nunca,Satisfecho/a,Nunca,
7/10/2025 13:11:16,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
7/10/2025 13:11:47,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
7/10/2025 13:12:49,7mo o más,No,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
7/10/2025 13:13:57,7mo o más,Si,Sí,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
7/10/2025 13:14:02,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Insatisfecho/a,Nunca,
7/10/2025 13:14:29,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Insatisfecho/a,Nunca,
7/10/2025 13:14:30,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Insatisfecho/a,Algunas veces,
7/10/2025 13:14:41,7mo o más,No,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Nunca,
7/10/2025 13:14:56,1er - 3er,No,No,No,"Sí, medio tiempo",Algo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
7/10/2025 13:15:00,1er - 3er,Si,Sí,Sí,No,No afecta/No trabajo,Sí,Algunas veces,Muy insatisfecho/a,Nunca,
7/10/2025 13:15:00,7mo o más,Si,Sí,No,"Sí, medio tiempo",Algo,Sí,Algunas veces,Muy insatisfecho/a,Algunas veces,
7/10/2025 13:20:07,7mo o más,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
7/10/2025 13:34:59,7mo o más,No,No,No,"Sí, medio tiempo",Algo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
8/10/2025 14:00:29,7mo o más,Si,No,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
8/10/2025 14:00:38,4to - 6to,Si,Sí,Sí,"Sí, tiempo completo","Sí, mucho",No,Algunas veces,Satisfecho/a,Algunas veces,
8/10/2025 14:03:36,1er - 3er,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
8/10/2025 14:03:52,1er - 3er,Si,Sí,No,No,Algo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
8/10/2025 14:04:49,1er - 3er,No,No,No,"Sí, medio tiempo",Algo,No,Algunas veces,Insatisfecho/a,"Sí, frecuentemente",
9/10/2025 11:36:38,7mo o más,Si,Sí,Sí,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Nunca,
9/10/2025 14:26:33,7mo o más,No,Sí,No,No,No afecta/No trabajo,No,Nunca,Insatisfecho/a,Nunca,
9/10/2025 17:10:43,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Muy satisfecho/a,Nunca,
9/10/2025 18:41:00,1er - 3er,No,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Siempre,Satisfecho/a,Nunca,
22/10/2025 10:15:13,7mo o más,Si,No,Sí,"Sí, medio tiempo","Sí, mucho",Sí,Nunca,Insatisfecho/a,Nunca,
22/10/2025 10:15:58,7mo o más,Si,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Nunca,Insatisfecho/a,Nunca,
27/10/2025 10:09:28,4to - 6to,No,No,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,Algunas veces,
27/10/2025 10:10:43,4to - 6to,No,Sí,No,No,No afecta/No trabajo,No,Nunca,Insatisfecho/a,Nunca,
27/10/2025 10:10:48,4to - 6to,No,No,Sí,No,Algo,No,Siempre,Muy satisfecho/a,Nunca,
27/10/2025 10:10:54,4to - 6to,No,Sí,Sí,"Sí, tiempo completo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
27/10/2025 10:11:11,4to - 6to,No,No,Sí,No,No afecta/No trabajo,No,Siempre,Muy satisfecho/a,"Sí, frecuentemente",
27/10/2025 10:11:20,7mo o más,Si,Sí,Sí,"Sí, medio tiempo","Sí, mucho",Sí,Siempre,Muy insatisfecho/a,Nunca,
27/10/2025 10:11:39,4to - 6to,Si,Sí,No,"Sí, medio tiempo",Algo,No,Algunas veces,Insatisfecho/a,Nunca,
27/10/2025 10:11:44,4to - 6to,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
27/10/2025 10:11:47,4to - 6to,No,No,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
27/10/2025 10:12:02,4to - 6to,Si,No,No,"Sí, medio tiempo",Algo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
27/10/2025 10:12:18,4to - 6to,Si,No,Sí,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
27/10/2025 10:12:33,4to - 6to,Si,Sí,Sí,No,No afecta/No trabajo,Sí,Nunca,Muy insatisfecho/a,Algunas veces,
27/10/2025 10:27:12,7mo o más,Si,No,No,No,Algo,No,Algunas veces,Insatisfecho/a,"Sí, frecuentemente",
27/10/2025 10:27:22,7mo o más,No,Sí,No,No,"Sí, mucho",No,Nunca,Insatisfecho/a,"Sí, frecuentemente",
27/10/2025 10:27:38,7mo o más,No,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
27/10/2025 10:29:10,7mo o más,No,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Nunca,
27/10/2025 12:49:14,4to - 6to,No,Sí,No,No,No afecta/No trabajo,No,Siempre,Insatisfecho/a,Nunca,
27/10/2025 13:37:47,7mo o más,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
27/10/2025 15:42:25,7mo o más,No,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Muy satisfecho/a,Algunas veces,
27/10/2025 16:21:58,7mo o más,Si,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 11:12:57,1er - 3er,No,No,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:13:09,1er - 3er,Si,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:13:17,1er - 3er,Si,No,Sí,No,"Sí, mucho",No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:13:29,1er - 3er,Si,Sí,Sí,"Sí, medio tiempo",Algo,Sí,Nunca,Satisfecho/a,Nunca,
5/11/2025 11:13:39,1er - 3er,Si,No,No,No,Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:13:42,1er - 3er,No,No,Sí,No,"Sí, mucho",No,Algunas veces,Insatisfecho/a,Algunas veces,
5/11/2025 11:14:24,1er - 3er,No,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:14:58,1er - 3er,No,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:15:07,1er - 3er,Si,Sí,Sí,"Sí, medio tiempo",Algo,No,Algunas veces,Insatisfecho/a,Algunas veces,
5/11/2025 11:15:07,1er - 3er,Si,Sí,No,"Sí, medio tiempo","Sí, mucho",No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:15:07,1er - 3er,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:15:39,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
5/11/2025 11:16:02,1er - 3er,Si,No,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:16:09,1er - 3er,No,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:16:47,1er - 3er,Si,Sí,Sí,"Sí, tiempo completo","Sí, mucho",Sí,Nunca,Insatisfecho/a,Nunca,
5/11/2025 11:16:50,1er - 3er,Si,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 11:17:09,4to - 6to,Si,Sí,No,"Sí, medio tiempo",Algo,Sí,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:17:10,1er - 3er,Si,No,No,"Sí, medio tiempo",No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 11:17:26,1er - 3er,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,"Sí, frecuentemente",
5/11/2025 11:17:29,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:17:35,1er - 3er,Si,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 11:18:03,1er - 3er,Si,No,No,No,No afecta/No trabajo,Sí,Algunas veces,Insatisfecho/a,Algunas veces,
5/11/2025 11:19:34,1er - 3er,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:19:34,1er - 3er,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:20:36,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:21:52,4to - 6to,Si,Sí,No,No,Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:22:16,4to - 6to,No,Sí,No,No,No afecta/No trabajo,No,Siempre,Muy satisfecho/a,Nunca,
5/11/2025 11:22:22,4to - 6to,No,No,No,"Sí, medio tiempo",Algo,Sí,Nunca,Muy insatisfecho/a,Algunas veces,
5/11/2025 11:22:47,4to - 6to,No,No,Sí,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:22:50,4to - 6to,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 11:23:24,4to - 6to,No,No,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:23:46,4to - 6to,Si,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Muy insatisfecho/a,Algunas veces,
5/11/2025 11:24:29,4to - 6to,Si,No,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:24:41,4to - 6to,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:24:49,4to - 6to,No,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 11:25:24,4to - 6to,Si,Sí,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:25:26,4to - 6to,No,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:25:36,4to - 6to,No,No,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:25:46,4to - 6to,No,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:25:54,4to - 6to,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:25:57,4to - 6to,No,No,No,No,Algo,No,Nunca,Insatisfecho/a,Algunas veces,
